prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
1,93,18,1495.013583,87.916208,515.261916,890.329334,easy,long,short,M3
1,92,441,24125.632833,51.541833,509.0825,23564.38025,easy,long,long,M3
1,92,4,722.635667,43.6245,514.685208,163.468292,easy,long,short,M3
1,91,818,45592.107167,43.089708,513.127,45035.309875,easy,long,long,M3
1,81,14,1280.919291,51.130708,540.95625,687.423791,easy,long,short,M3
1,80,772,41437.888417,42.924458,535.568209,40858.849708,easy,long,long,M3
1,94,9,1016.231625,44.643791,564.180583,406.353542,easy,long,short,M3
1,93,592,31903.666375,42.415917,564.875542,31295.587083,easy,long,long,M3
1,82,5,888.071709,73.898125,597.420041,216.162125,easy,long,short,M3
1,81,664,35862.82025,56.217708,590.700125,35215.487458,easy,long,long,M3
1,89,8,1002.760583,45.860458,588.795542,367.441583,easy,long,short,M3
1,88,546,32436.215583,42.893125,583.496708,31809.339709,easy,long,long,M3
1,85,7,1193.94575,46.390291,808.716583,337.531458,easy,long,short,M3
1,84,773,51267.914375,41.043917,638.999083,50587.312084,easy,long,long,M3
1,92,6,1090.712042,45.460875,774.807041,269.903959,easy,long,short,M3
1,91,597,38160.61125,42.641541,629.428833,37488.0205,easy,long,long,M3
1,91,4,922.966958,46.30375,715.017209,160.000583,easy,long,short,M3
1,90,548,32621.023792,41.804583,681.544958,31897.043667,easy,long,long,M3
1,87,4,985.34475,41.402333,781.234208,161.669208,easy,long,short,M3
1,86,564,33751.92375,41.344208,594.106792,33115.919958,easy,long,long,M3
1,94,15,1527.392292,40.035792,729.7325,756.77875,easy,long,short,M3
1,93,594,36638.013291,40.855208,629.256334,35967.479583,easy,long,long,M3
1,83,35,2603.950625,42.764042,724.320667,1836.291458,easy,long,short,M3
1,82,592,36773.168792,41.49275,755.346375,35975.873625,easy,long,long,M3
1,80,12,1385.525042,42.556042,751.459459,591.074666,easy,long,short,M3
1,79,401,24635.649958,42.024583,613.0165,23980.175,easy,long,long,M3
1,93,3,941.936125,43.7415,789.340333,108.17725,easy,long,short,M3
1,92,651,40780.430667,40.006792,626.421875,40113.618584,easy,long,long,M3
1,86,20,1847.879958,41.533,792.820875,1012.479,easy,long,short,M3
1,85,536,33559.714,41.190542,672.26825,32845.673458,easy,long,long,M3
1,86,14,1476.447042,43.252084,728.836292,703.639,easy,long,short,M3
1,85,599,38079.461084,41.586667,701.62375,37335.775375,easy,long,long,M3
1,83,4,1158.798042,42.8,943.411542,171.643916,easy,long,short,M3
1,82,635,40095.438833,40.73975,640.630209,39413.651708,easy,long,long,M3
1,84,48,3291.561708,42.152875,745.479833,2503.059459,easy,long,short,M3
1,83,694,40093.267,41.691542,725.2595,39325.778958,easy,long,long,M3
1,85,42,2918.008875,43.597083,715.144333,2158.550542,easy,long,short,M3
1,84,663,39082.793917,41.652042,680.611708,38360.142667,easy,long,long,M3
1,91,15,1507.171292,41.504959,712.650125,752.36375,easy,long,short,M3
1,90,710,42483.588,41.65625,691.983458,41749.448084,easy,long,long,M3
1,86,10,1185.257458,41.955125,659.293875,483.344583,easy,long,short,M3
1,85,480,27990.803959,41.558709,603.290084,27345.489291,easy,long,long,M3
1,86,11,1223.4245,42.00575,663.140584,517.825041,easy,long,short,M3
1,85,601,34967.721083,40.274166,573.168958,34353.918209,easy,long,long,M3
1,96,5,965.048042,41.908375,710.65425,211.602125,easy,long,short,M3
1,95,255,15043.719375,40.532958,596.136917,14406.57325,easy,long,long,M3
1,89,6,1034.117583,41.068125,727.176167,265.361042,easy,long,short,M3
1,88,619,37115.950458,40.449458,594.104666,36480.968209,easy,long,long,M3
1,84,22,1834.972375,41.136584,678.629708,1114.570958,easy,long,short,M3
1,83,573,33862.830625,41.158375,604.580125,33216.630792,easy,long,long,M3
1,87,32,2439.29475,41.594416,757.890125,1639.162875,easy,long,short,M3
1,86,632,37329.425459,41.467084,633.858584,36653.623458,easy,long,long,M3
1,86,8,1121.711083,41.076375,710.251666,369.932625,easy,long,short,M3
1,85,673,39798.770167,41.2995,593.706666,39163.340125,easy,long,long,M3
1,87,12,1372.585791,41.630833,741.809917,588.652875,easy,long,short,M3
1,86,509,30201.231334,44.822959,658.475,29497.493708,easy,long,long,M3
1,89,10,1348.827,43.246292,826.156208,478.786125,easy,long,short,M3
1,88,495,29409.957333,39.882333,586.284625,28783.394708,easy,long,long,M3
1,83,31,2378.221125,42.496875,754.698125,1580.570792,easy,long,short,M3
1,82,559,33305.591208,41.856417,631.007167,32632.283333,easy,long,long,M3
1,89,6,1026.957792,42.64175,718.610709,265.141791,easy,long,short,M3
1,88,768,46012.786375,41.021208,599.452,45371.891209,easy,long,long,M3
1,89,4,923.350625,40.972042,722.830209,158.985125,easy,long,short,M3
1,88,507,30200.858417,41.491958,602.380833,29556.540084,easy,long,long,M3
8,512,108,9928.262208,42.82575,3268.499667,6615.481416,easy,long,short,M3
8,511,309,23201.820792,43.594834,3372.287,19784.4415,easy,long,long,M3
8,504,84,9042.191125,43.676333,3433.781083,5563.001625,easy,long,short,M3
8,503,1152,81749.466583,40.0745,3515.926375,78192.038458,easy,long,long,M3
8,504,129,10759.041541,44.685375,3160.60275,7551.96125,easy,long,short,M3
8,503,1533,109594.580375,43.717708,3232.897125,106316.238208,easy,long,long,M3
8,498,96,9661.182291,45.01175,3504.781625,6109.367083,easy,long,short,M3
8,497,1466,108418.985542,41.237,3438.707167,104937.491958,easy,long,long,M3
8,512,90,9133.254333,43.225875,3452.024875,5636.253916,easy,long,short,M3
8,511,1479,111108.789083,41.140792,3576.098333,107490.082542,easy,long,long,M3
8,504,87,9029.822625,44.401542,3474.977958,5508.543084,easy,long,short,M3
8,503,1833,139188.391084,41.563542,3605.335375,135539.850333,easy,long,long,M3
8,504,133,12028.485,46.407541,3425.408209,8554.403125,easy,long,short,M3
8,503,1046,80245.877167,42.7225,3624.030333,76577.292959,easy,long,long,M3
8,498,151,13189.993208,48.773292,3534.74375,9604.574167,easy,long,short,M3
8,497,1661,121407.37575,43.100625,3484.592125,117878.156625,easy,long,long,M3
8,512,113,10621.412583,44.268917,3443.855583,7131.423083,easy,long,short,M3
8,511,1582,118417.204666,46.316625,3681.723375,114687.441542,easy,long,long,M3
8,504,81,8364.916417,43.676917,3379.787041,4939.343209,easy,long,short,M3
8,503,1389,101799.37475,49.163708,3321.7795,98426.524625,easy,long,long,M3
8,504,107,10143.791959,43.719917,3434.885542,6663.57,easy,long,short,M3
8,503,1473,108023.213417,41.186625,3551.897125,104428.47775,easy,long,long,M3
8,498,132,11935.845417,43.792209,3419.778416,8470.758584,easy,long,short,M3
8,497,1655,122513.671292,46.920708,3484.905041,118980.17125,easy,long,long,M3
8,512,93,9601.422208,46.885333,3680.944166,5871.939167,easy,long,short,M3
